,Ticker,YTD Performance
0,MMM,-22.944812552408962
1,AOS,22.297070891920374
2,ABT,-14.242523568013763
3,ABBV,-5.263429945059998
4,ACN,17.481525412451905
5,ATVI,24.20542812170362
6,ADM,-16.40661148871858
7,ADBE,63.21677289214548
8,ADP,6.703911562550155
9,AES,-51.35273006018909
10,AFL,13.504532944926966
11,A,-24.01294684045838
12,ABNB,53.12131644706023
13,APD,-3.357446950886289
14,AKAM,27.539132858312172
15,ALK,-18.050286143012602
16,ALB,-22.723095479969942
17,ARE,-27.19092992361778
18,ALGN,30.7329897350356
19,ALLE,-0.38607862153731054
20,LNT,-7.984870619767302
21,ALL,-14.028294573732017
22,GOOGL,57.70870592477427
23,GOOG,57.97101646503348
24,MO,-0.329354434220057
25,AMZN,53.612214285530136
26,AMCR,-22.161973012017974
27,AMD,69.18151083708953
28,AEE,-10.49637870611075
29,AAL,-2.040818159755871
30,AEP,-18.34731408665441
31,AXP,4.507082574871317
32,AIG,-0.33766531151137247
33,AMT,-20.8462554087851
34,AWK,-19.57194389984913
35,AMP,7.312789286911461
36,AME,8.900549160063198
37,AMGN,11.270919038266793
38,APH,11.648329220214205
39,ADI,9.21214927316906
40,ANSS,27.757293690320623
41,AON,9.925237750144841
42,APA,-9.075263850826378
43,AAPL,44.37284433129082
44,AMAT,48.030760771715265
45,APTV,6.4228094854348745
46,ACGL,32.91706349657135
47,ANET,58.680005623452324
48,AJG,26.456719329016693
49,AIZ,17.169355818423572
50,T,-15.890140756341312
51,ATO,2.469764768789244
52,ADSK,15.149880624592571
53,AZO,5.791714126123687
54,AVB,13.057693431491584
55,AVY,3.166034591302993
56,AXON,30.76556872136993
57,BKR,23.661250937969303
58,BALL,-10.518271717553697
59,BAC,-17.515089929364507
60,BBWI,-26.831233363802003
61,BAX,-34.481296859763205
62,BDX,3.117399598984853
63,WRB,-9.87170778690036
64,BRK.B,
65,BBY,-8.47049386452497
66,BIO,-15.488955284952825
67,TECH,-15.789855797444186
68,BIIB,-2.241138451274635
69,BLK,-7.75566067835804
70,BX,44.65461521303801
71,BK,-6.5901016890233395
72,BA,0.3480259668839216
73,BKNG,51.16302007272524
74,BWA,13.967523175511728
75,BXP,-9.817113225148706
76,BSX,10.649862431283005
77,BMY,-18.808375524339567
78,AVGO,60.86769228005689
79,BR,37.479466833516014
80,BRO,26.824006396983002
81,BF.B,
82,BG,8.790915818191037
83,CHRW,-2.91543604875521
84,CDNS,58.46905330415774
85,CZR,11.239943655131855
86,CPT,-9.328289796495135
87,CPB,-27.65481894418685
88,COF,6.271051722276844
89,CAH,21.622485200872198
90,KMX,13.951185965738683
91,CCL,58.720200144774225
92,CARR,35.80932160652807
93,CTLT,2.4642440331882853
94,CAT,15.951129830841513
95,CBOE,27.90311049558995
96,CBRE,-5.851611198908152
97,CDW,20.220494052594002
98,CE,23.5593036986527
99,COR,15.433706339417268
100,CNC,-10.985696941956036
101,CNP,-4.241481409910528
102,CDAY,21.991231090854725
103,CF,4.113889696873874
104,CRL,-9.761901401670725
105,SCHW,-35.87024671294777
106,CHTR,31.68804526229278
107,CVX,-4.768712677134921
108,CMG,32.99103469219163
109,CB,-3.5405663620460217
110,CHD,7.826391458855624
111,CI,-7.170442900642603
112,CINF,0.46112612832719935
113,CTAS,15.03620155601617
114,CSCO,15.36260540521035
115,C,-6.3099179556449645
116,CFG,-29.741633116440386
117,CLX,-12.003341662616515
118,CME,30.771320002216918
119,CMS,-12.899633715088624
120,KO,-12.681762938875607
121,CTSH,20.23932531443412
122,CL,-11.301794700999604
123,CMCSA,27.039672720811687
124,CMA,-33.03098068873174
125,CAG,-27.510035736297294
126,COP,9.469380559000706
127,ED,-5.190112204297641
128,STZ,
129,CEG,41.86588932800376
130,COO,-6.576475009394963
131,CPRT,50.17898539975185
132,GLW,-8.24703066001624
133,CTVA,-14.653737415405121
134,CSGP,5.434644092436622
135,COST,25.476224638340124
136,CTRA,26.466568808461222
137,CCI,-28.722889750549758
138,CSX,3.469719889474926
139,CMI,-2.5534121818341995
140,CVS,-20.98132708207649
141,DHI,20.66357369201583
142,DHR,-6.564269114447993
143,DRI,1.6085301229323605
144,DVA,1.4029971982056446
145,DE,-7.335155465146209
146,DAL,10.875441852919844
147,XRAY,-1.6097252260354717
148,DVN,-16.10591497894199
149,DXCM,-31.168832118812407
150,FANG,24.90533769537617
151,DLR,25.03458236721728
152,DFS,-4.504147606381378
153,DIS,-4.630777441895005
154,DG,-57.484635931018765
155,DLTR,-23.691713267477358
156,D,-29.04677377426708
157,DPZ,5.519065768476735
158,DOV,6.38416319432393
159,DOW,3.6655327094263197
160,DTE,-14.782104704755882
161,DUK,-10.55369208674699
162,DD,12.647713087191715
163,EMN,-6.887277570126373
164,ETN,38.77378457915382
165,EBAY,3.887881387761715
166,ECL,16.3923560684125
167,EIX,4.366644878918575
168,EW,-4.214349528599548
169,EA,6.117733075701815
170,ELV,-8.80105325688434
171,LLY,67.16155959793876
172,EMR,2.829193038684274
173,ENPH,-49.22821765824601
174,ETR,-10.209561811792657
175,EOG,5.364749428780765
176,EPAM,-24.892888756332777
177,EQT,38.64681775755897
178,EFX,-5.377474765364879
179,EQIX,15.499834941142712
180,EQR,6.745633335612701
181,ESS,8.673369332881494
182,EL,-44.121769493692675
183,ETSY,-42.902432430544025
184,EG,19.388731299793495
185,EVRG,-17.49811074305517
186,ES,-27.94248835580878
187,EXC,-4.777756619791193
188,EXPE,18.16833970087866
189,EXPD,12.121944359369301
190,EXR,-12.425747812331394
191,XOM,2.457876447366296
