,Ticker,Score,probability
0,CME,94.2191095081978,0.79307723
1,UNH,94.15280358907764,0.944395
2,WDC,92.74189538900325,0.7487328
3,ATVI,92.14473781832308,0.88838947
4,PGR,91.81109266623984,0.9694072
5,SNPS,91.34642882481884,0.94836473
6,MCK,91.3113454238856,0.85746527
7,CDNS,90.84420857289034,0.84184664
8,VRTX,90.78423120333446,0.64155346
9,HUM,90.53088449971628,0.6101279
10,WU,90.38283074998054,0.9993632
11,GOOGL,90.07016977465221,0.7194814
12,GL,89.84722316892939,0.71522486
13,WRK,89.50429172141993,0.99775374
14,DXC,89.31560625712959,0.6170476
15,AFL,89.23924547484495,0.8210118
16,CPRT,88.51503531924433,0.5795998
17,AMGN,88.38365375513106,0.743867
18,PKG,86.75846147716527,0.6360919
19,AIG,86.58424890648706,0.59538
20,CI,86.58372052814255,0.70042783
21,AKAM,86.52565729490937,0.8618198
22,AVY,86.52412071808115,0.72997546
23,AZO,86.41451986927831,0.7880919
24,NWS,86.37460408123142,0.7328758
25,NKE,86.34765303463286,0.5911684
26,AAPL,86.08881407509891,0.9352484
27,CSX,85.61728564714599,0.5775356
28,HLT,85.55730860104303,0.59533465
29,L,85.09648337233041,0.8527217
30,TXT,85.08373882281548,0.7345146
31,MMC,85.04439161573106,0.8514436
32,VRSK,84.88191324112431,0.8065923
33,FANG,84.29323584428528,0.8709025
34,IP,84.28215438777318,0.72667325
35,NDAQ,84.12425094393856,0.8848541
36,GD,83.84063794279825,0.6098439
37,FDX,83.77267683370212,0.80820435
38,WMB,83.69803837795544,0.6960857
39,CHTR,83.65036863377786,0.6571729
40,BWA,83.0256066257628,0.5943685
41,BRO,82.9857453518612,0.9352765
42,TJX,82.90025458277472,0.78260976
43,MA,82.48998232946492,0.78755784
44,TRV,82.3765797454165,0.95499516
45,GILD,82.27251743642654,0.9510353
46,NEM,82.14357945545005,0.5755321
47,WST,82.05656102263288,0.6729088
48,FFIV,81.83584279324852,0.8328522
49,ROST,81.75766565530732,0.7195287
50,IBM,81.75694134418637,0.73681027
51,EMR,81.73537204899345,0.74911034
52,TDY,81.72184695110165,0.66412836
53,CMI,81.68922815967564,0.57177335
54,CVX,81.29302295588289,0.95497054
55,T,81.1734628259308,0.95947266
56,CSCO,81.06155079400172,0.78191394
57,MRK,80.82082290353063,0.81015843
58,PRU,80.76222823206939,0.8096996
59,AMP,80.58783832978332,0.57071924
60,URI,80.50500737036897,0.80907553
61,CE,80.49457842258442,0.7504136
62,MET,80.14079088001002,0.8589016
63,APD,79.45576514358896,0.68356
64,BLK,79.36771115444378,0.58562183
65,KMI,79.23415912827232,0.71347123
66,TMO,79.14173298076318,0.6964222
67,CMCSA,79.13962313196983,0.7086831
68,IPG,79.04980296389556,0.670673
69,HBAN,78.6901263540659,0.8147755
70,WMT,78.2544797246296,0.74186856
71,UPS,78.20283156084635,0.6456764
72,DLR,78.03564115603706,0.6989132
73,SRE,77.88872110801374,0.6916493
74,IRM,77.78134500326803,0.606292
75,BKR,77.44689231869334,0.7474647
76,MRO,77.14507158410011,0.872898
77,SYK,76.34639180583834,0.9236223
78,REG,76.28269281904524,0.6086877
79,XOM,76.01137199440032,0.99933535
80,INCY,75.70932085280427,0.86382335
81,SYF,75.31059595098299,0.7823242
82,FITB,75.04298117933526,0.5703442
83,PSX,74.62660040008008,0.6259653
84,MDT,74.38348064851648,0.6395952
85,USB,74.37622931743371,0.88014156
86,VNO,74.1506715441667,0.6671022
87,VLO,74.05551561216043,0.9324673
88,DVA,72.61687195097065,0.66629297
89,APA,72.57049634916886,0.8026801
90,MNST,71.6318813095097,0.6373655
91,XRAY,71.30389349206699,0.72259617
92,ALGN,71.13145507844021,0.8122732
93,PEAK,69.70936309082317,0.8902715
94,BXP,67.37924518202647,0.6559574
