Ticker,Score
A,79.40834672595138
AA,79.16743715509706
AAIC,81.27080943255957
AAIC-PB,82.1129756307326
AAIC-PC,79.46519649900522
AAIN,84.86904129468512
AAM-PA,88.56914735832885
AAM-PB,87.85112030636672
AAN,74.62283026031363
AAP,69.33962974595717
AAT,72.73402440779526
AB,83.16927718313845
ABBV,81.9401357932858
ABG,77.90461894149293
ABM,85.49895889666725
ABR,71.86342623983232
ABR-PD,74.87869256005308
ABR-PE,80.73778650684127
ABR-PF,73.0826918928705
ABT,79.12396196613642
AC,76.99643665731116
ACA,79.43240073149772
ACCO,78.22922951957243
ACEL,83.23571050650133
ACHR,74.14409682749455
ACI,82.29222259965371
ACM,81.84515114134011
ACP,65.98091770595138
ACP-PA,72.12051594243124
ACR,83.745287976715
ACR-PC,81.03136630117996
ACR-PD,73.40971627869665
ACRE,72.67903539657752
ACV,81.0320434229338
ADC,73.7139646420442
ADC-PA,78.89049821297439
ADM,72.0574480722288
ADNT,79.17001580478514
ADT,93.20955861363663
ADX,82.19964912004556
AEE,77.186707873599
AEFC,69.14599726414359
AEL,84.35255131075881
AEL-PA,82.77950152403686
AEL-PB,79.87130207532257
AEO,89.61397617521379
AES,57.80812280076994
AESC,56.485686823716065
AFB,71.8834409690174
AFG,84.58544536406542
AFGB,74.16490374863223
AFGC,86.41396702632092
AFGD,78.01037300066287
AFGE,77.34276612765866
AFL,89.23924547484495
AGCO,81.65927753866313
AGD,77.55115573139321
AGL,85.37667041300661
AGM,73.98360196036403
AGM-PC,81.34614576081734
AGM-PD,75.64434869412077
AGM-PE,80.31204867982377
AGM-PF,78.09322312186929
AGM-PG,80.23561349849281
AGR,72.057195569907
AGS,78.4078378579728
AGTI,56.154615839424714
AGX,95.72686024625628
AHH,78.31280953284576
AHH-PA,80.6564532837821
AHT,73.34092370243611
AHT-PD,52.87335945450701
AHT-PF,55.9368757937731
AHT-PG,59.603499529233716
AHT-PH,57.63430179521097
AHT-PI,56.48408366086823
AI,74.30193515574845
AIC,84.15814964887511
AIG,86.58424890648706
AIG-PA,81.0161307995718
AIN,80.13326283251219
AIR,84.43089290051073
AIRC,78.63748180668937
AIT,87.43054005455025
AIV,73.67361626405284
AIZ,89.50870002549031
AIZN,78.64096830133971
AJG,87.84795056181835
AJX,83.23156813095558
AJXA,80.2925925515123
AKR,73.81375940850623
AL,77.8945358499993
AL-PA,86.4437830183225
ALB,73.57383158756758
ALE,81.80368987223834
ALEX,77.01847953331387
ALG,85.47060292699429
ALIT,68.92702341180241
ALK,68.75859719245719
ALL,88.5514134305806
ALL-PB,80.85961675013304
ALL-PH,76.29026676039908
ALL-PI,75.10449119336629
ALL-PJ,80.38189180327491
ALLE,80.97753953708792
ALLY,75.47162250729896
ALSN,85.37617047249574
ALTG,71.53775790855588
ALTG-PA,89.097695396592
ALX,74.08494772121104
AM,85.57622704428972
AMBC,79.57229595636835
AMC,70.26896196359513
AME,82.51367622138449
AMG,82.31864542702436
AMH,80.35542543240692
AMH-PG,76.72144390677838
AMH-PH,78.59885308589217
AMK,72.98278902006199
AMN,73.92093736508404
AMP,80.58783832978332
AMPX,81.38076209154785
AMPY,81.48952849212515
AMR,92.65850119598221
AMRC,63.2917155851506
AMRX,87.29654161422076
AMT,74.27075014890879
AMTB,85.89227238709894
AMWL,67.43935300743635
AN,71.91659544898104
ANET,92.29994049175794
ANF,93.44219737724075
ANVS,65.26020184584931
AOD,75.45178259087182
AOMR,75.79049051614173
AON,83.02847212524706
AORT,84.88075000222877
AOS,84.28872267589533
AP,77.23019394664817
APAM,80.65819976588283
APD,79.45576514358896
APH,81.97952530515201
APLE,81.20535887821579
APRN,138.14281448025844
AQN,66.72168706656272
AQNA,80.43441654591122
AQNB,79.69348479579446
AQNU,68.80436112002127
AR,85.24441215777115
ARC,79.75965892485573
ARCH,87.93242942890576
ARDC,83.29269401136098
ARE,70.9684178650812
ARES,92.0527714792867
ARI,77.29123368139666
ARIS,81.42493647766455
ARL,71.99430683298492
ARLO,76.50634312162907
ARMK,76.09800826579679
AROC,84.3385189456119
ARR,62.458491272449976
ARR-PC,75.4090868357994
ARW,75.64940721584752
ASA,72.83278970619493
ASAN,76.0543690387776
ASB,80.5047492532108
ASB-PE,75.33955158013183
ASB-PF,83.71284588592641
ASBA,75.81559759766753
ASG,78.45433669830493
ASGN,83.58608918798059
ASH,76.20407258217728
ASIX,73.87848979560222
ASPN,97.00333253019576
ATEN,63.1661978882551
ATGE,88.07330554090629
ATI,73.40098110598376
ATKR,82.14370913519016
ATO,80.90726018046648
ATR,87.62893123291688
ATUS,77.62512793012372
AUB,83.19125965339104
AUB-PA,80.10557944788532
AVA,77.42579598151461
AVB,79.61993217162406
AVD,60.371249872980684
AVK,72.02909776965544
AVNS,72.37056594297357
AVNT,73.1517245391826
AVTR,81.25648494764904
AVY,86.52412071808115
AWF,77.73807240608176
AWI,80.08474734358315
AWK,69.63072162331126
AWP,75.32254526149094
AWR,80.47064623809058
AX,78.8775540352884
AXL,79.51517988898267
AXP,78.4597742947948
AXR,84.75492913613016
AXTA,87.1767088820657
AYI,99.67367928725652
AYX,92.03193402054131
AZEK,73.72298080611495
AZO,86.41451986927831
AZZ,79.84763859337055
B,73.06680381096545
BA,70.81087328828062
BAC,72.67459199071416
BAC-PB,73.18998930862021
BAC-PE,79.06960997731777
BAC-PK,70.81213588034676
BAC-PL,71.34131179663852
BAC-PM,73.88008127185756
BAC-PN,74.32152367547813
BAC-PO,73.75217557356164
BAC-PP,71.12783261831622
BAC-PQ,72.40372125361718
BAC-PS,72.87209131631526
BAH,94.8043526116552
BALL,72.34611510865493
BALY,56.64320382925204
BANC,85.03603973775914
BAX,73.97355136722283
BBDC,86.82301351266788
BBN,77.56275561857144
BBW,83.9090115302129
BBWI,75.1870293328174
BBY,78.91539683511193
BC,76.53096060362385
BC-PA,
BC-PB,
BC-PC,
BCAT,83.2632258646014
BCC,78.2420034896
BCO,83.3874892248115
BCSF,78.02129627558585
BCX,77.1097354040119
BDC,85.15160471080712
BDJ,80.95237405965068
BDN,70.43836714955349
BDX,82.45086946627184
BE,63.205676176035496
BEN,75.97765015802734
BEPC,69.42977152336151
BERY,70.99127486297144
BF-A,71.13955967863095
BF-B,72.22594034749356
BFAM,74.2870205354957
BFH,70.08235360775275
BFK,74.96824407785903
BFLY,61.83011939691076
BFS,77.26344993260348
BFS-PD,75.18953839901678
BFS-PE,77.1760842493872
BFZ,71.65819202319642
BG,74.03824177000446
BGB,81.9019202647342
BGH,75.3570071869798
BGR,80.96790291477276
BGS,56.05127700631131
BGSF,79.02580864436162
BGT,86.42420928138944
BGY,80.19611519766383
BH,72.41938414312925
BHE,82.91846647716524
BHG,68.56225987350663
BHIL,51.470450938420015
BHK,72.7860878642704
BHLB,85.33407597850173
BHR,80.27880961800969
BHR-PB,70.84187100702775
BHR-PD,69.44113081370608
BHV,69.75401389284512
BHVN,101.58107457614872
BIG,61.43234929088904
BILL,90.13941239838638
BIO,80.83601361692058
BIO-B,66.54037474598644
BJ,81.90502038057133
BK,79.53488778434877
BKD,78.4278716403305
BKE,77.5219726360657
BKH,69.5180558861901
BKKT,78.94515072029331
BKN,72.02224230232271
BKSY,74.56812509006176
BKT,77.95671200129546
BKU,73.67396633521425
BLD,76.76550584448758
BLDR,75.70472465400621
BLE,72.75428992552831
BLK,79.36771115444378
BLND,86.76134281635873
BLW,83.93470583753984
BME,84.83498859960233
BMI,73.50101514340149
BML-PG,83.80048015908883
BML-PH,82.73290525188311
BML-PJ,81.00472371563546
BML-PL,83.1902414549138
BMY,75.66930296943443
BNED,70.40286978322472
BNL,74.60287561632938
BNY,71.14406405399795
BOAC,84.21440404314785
BOC,78.82601969910479
BODY,89.53455990788336
BOE,80.00859953316754
BOH,80.34264754602421
BOH-PA,73.31880247287441
BOOT,78.68006989579388
BOWL,95.04649094404694
BOX,82.3434068577729
BPT,59.599515150591955
BR,82.46179604401044
BRBR,91.11506407959618
BRC,89.54417731257635
BRCC,61.94053768602354
BRDG,71.04930650148289
BRK-A,77.33238435586271
BRK-B,77.6870124254882
BRO,82.9857453518612
BROS,76.5600306191574
