,Symbol,api_industry
272,BW,real_estate
273,BWA,manufacturing
274,BWG,finance
275,BWNB,real_estate
276,BWSN,real_estate
277,BX,finance
278,BXC,retail_wholesale
279,BXMT,real_estate
280,BXMX,finance
281,BXP,real_estate
282,BY,financial markets
283,BYD,real_estate
284,BYM,finance
285,BZH,real_estate
286,C,financial markets
287,CABO,technology
288,CACI,technology
289,CADE,financial markets
290,CAF,finance
291,CAG,manufacturing
292,CAH,life_sciences
293,CAL,manufacturing
294,CALX,technology
295,CANO,life_sciences
296,CAPL,energy_transportation
297,CARR,manufacturing
298,CAT,real_estate
299,CATO,retail_wholesale
300,CBH,retail_wholesale
301,CBL,real_estate
302,CBRE,real_estate
303,CBT,life_sciences
304,CBU,financial markets
305,CBZ,technology
306,CC,life_sciences
307,CCI,real_estate
308,CCK,manufacturing
309,CCL,energy_transportation
310,CCO,technology
311,CCRD,technology
312,CCS,real_estate
313,CCZ,technology
314,CDAY,technology
315,CDE,manufacturing
316,CDRE,manufacturing
317,CE,life_sciences
318,CEE,finance
319,CEIX,energy_transportation
320,CEM,retail_wholesale
321,CEN,finance
322,CEQP,energy_transportation
323,CF,life_sciences
324,CFG,financial markets
325,CFR,financial markets
326,CHCT,real_estate
327,CHD,manufacturing
328,CHE,life_sciences
329,CHH,real_estate
330,CHN,finance
331,CHPT,manufacturing
332,CHS,retail_wholesale
333,CHWY,retail_wholesale
334,CI,life_sciences
335,CIA,financial_markets
336,CIEN,technology
337,CIF,retail_wholesale
338,CII,finance
339,CIM,real_estate
340,CION,finance
341,CIR,manufacturing
342,CIVI,energy_transportation
343,CL,manufacturing
344,CLDT,real_estate
345,CLF,manufacturing
346,CLH,real_estate
347,CLPR,real_estate
348,CLW,manufacturing
349,CLX,manufacturing
350,CMA,financial markets
351,CMC,financial_markets
352,CMG,retail_wholesale
353,CMI,manufacturing
354,CMP,manufacturing
355,CMS,energy_transportation
356,CMSA,energy_transportation
357,CMSC,energy_transportation
358,CMSD,energy_transportation
359,CMTG,real_estate
360,CMU,finance
361,CNA,financial_markets
362,CNC,life_sciences
363,CNK,technology
364,CNM,manufacturing
365,CNMD,life_sciences
366,CNNE,retail_wholesale
367,CNO,financial_markets
368,CNP,energy_transportation
369,CNS,finance
370,CNX,energy_transportation
371,CODI,real_estate
372,COF,financial markets
373,COHR,technology
374,COLD,real_estate
375,COMP,technology
376,COO,manufacturing
377,COOK,retail_wholesale
378,COP,energy_transportation
379,COR,life_sciences
380,CORR,real_estate
381,COTY,manufacturing
382,COUR,technology
383,CPB,manufacturing
384,CPE,energy_transportation
385,CPF,financial markets
386,CPK,energy_transportation
387,CPS,manufacturing
388,CPT,real_estate
389,CR,manufacturing
390,CRBG,financial_markets
391,CRC,energy_transportation
392,CRGY,energy_transportation
393,CRI,retail_wholesale
394,CRK,energy_transportation
395,CRL,life_sciences
396,CRM,technology
397,CRS,financial_markets
398,CRT,energy_transportation
399,CSL,manufacturing
400,CSR,real_estate
401,CSV,retail_wholesale
402,CTBB,technology
403,CTDD,technology
404,CTLT,life_sciences
405,CTO,real_estate
406,CTR,finance
407,CTRA,energy_transportation
408,CTRE,real_estate
409,CTS,manufacturing
410,CTVA,life_sciences
411,CUBB,financial markets
412,CUBE,real_estate
413,CUBI,financial markets
414,CUK,energy_transportation
415,CULP,earnings
416,CURO,finance
417,CUZ,real_estate
418,CVI,energy_transportation
419,CVNA,retail_wholesale
